SOURCE_SYSTEM,REGION,COUNTRY,Priority_Brand,GMC_Category_Code,GMC_Category_Name,GMC_Subcategory_Code,GMC_Subcategory_Name,GMC_BRAND_CODE,GMC_BRAND_B1,B2_SUBBRAND_CODE2,B2_SUBBRAND2,SOURCE_BRAND_NAME,Source_Brand_Code,Source_Subcategory_Name,Source_Subcategory_Code,Source_Category_Name,Source_Category_Code,Source_Need_State,Mapping_Quality
Perfect Store Dashboard,EMEA,Germany,,,,,,,,,,Aveeno Daily Moisturizing,,Shower,,Adult Body Cleansing,C40056,Skin Care,
TSKU (TDP),LATAM,Brazil,,,,,,,,,,Aveeno,,Sun Protection,,Sun Care,,Skin Care,
TSKU (TDP),LATAM,Brazil,,,,,,,,,,Listerine Teeth & Gum Defence,,,,Oral Care,,Essential Health,
TSKU (TDP),LATAM,Brazil,,,,,,,,,,Listerine Naturals,,,,Oral Care,,Essential Health,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,,,,,Olynth,,Decongestants,,Cough and Cold,,Self Care,
TSKU (TDP),EMEA,Germany,,,BODY CLEANSING,,,,,,,Aveeno Baby,,Soaps,,Baby Toiletries,,Essential Health,
TSKU (TDP),EMEA,Germany,,,CONDITIONER,,,,,,,Regaine Men,,Hair Loss,,Hair Loss,,Skin Care,
TSKU (TDP),EMEA,Germany,,,FACIAL MOISTURIZERS & TREATMENTS,,,,,,,Cicabiafine,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
TSKU (TDP),EMEA,Germany,,,,,,,,,,Visine,,Allergy,,Allergy,,Self Care,
TSKU (TDP),EMEA,Germany,,,"HAND, BODY & FOOT MOISTURIZING",,,,,,,Zyrtec,,Allergy,,Allergy,,Self Care,
TSKU (TDP),EMEA,Germany,,,,,,,,,,Bebe Zartpflege,,Milks/Lotions,,Baby Toiletries,,Essential Health,
TSKU (TDP),EMEA,Germany,,,SHAMPOO,,,,,,,Bebe Zartpflege,,Soaps,,Baby Toiletries,,Essential Health,
TSKU (TDP),APAC,India,,,,,,,,,,Neutrogena Skin Detox,,Face Care Regular,,Face Care,,Skin Care,
TSKU (TDP),APAC,India,,,,,,,,,,Aveeno Baby,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
TSKU (TDP),APAC,India,,,,,,,,,,Aveeno,,Adult Body Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
TSKU (TDP),APAC,Japan,,,,,,,,,,Neutrogena Hydro Boost,,Lip Moisturising,,Lip Moisturising,,Skin Care,
TSKU (TDP),APAC,Japan,,,,,,,,,,Imodium,,Anti-Diarrheal,,Digestive Health,,Self Care,
TSKU (TDP),APAC,Japan,,,,,,,,,,Neutrogena Age Shield,,Sun Protection,,Sun Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50010,Adult Body Moisturizing,,,,,Piz Buin Allergy,,Sun Protection,,Sun Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40022,Hand Body & Foot Moisturizing,C50010,Adult Body Moisturizing,,,,,Aveeno Positively Ageless,,Hand Moisturising,,Hand/Body/Foot Moisturising,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40003,Allergy Care,,,,,,,Piz Buin,,Sun Protection,,Sun Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40008,Baby Toiletries,,,,,,,Piz Buin Tan And Protect,,Sun Protection,,Sun Care,,Skin Care,
TSKU (TDP),EMEA,United Kingdom,,C40008,Baby Toiletries,,,,,,,Listerine Cool Mint,,,,Oral Care,,Essential Health,
TSKU (TDP),EMEA,United Kingdom,,C40041,Conditioner,C50041,Conditioner,,,,,Neutrogena Curcuma Clear,,Face Care Medicated,,Face Care,,Skin Care,
